lat,long
51.68833,4.59393
51.68828,4.5939
51.68825,4.59387
51.68822,4.5939
51.68822,4.5939
51.68834,4.5938300000000005
51.68825,4.59397
51.68829,4.5938300000000005
51.68824,4.59384
51.68823,4.59395
51.68823,4.59395
51.68826,4.59399
51.68823,4.59394
51.95353,4.15477
51.95353,4.15481
51.95356,4.1548
51.95355,4.15478
51.95352,4.15486
51.95352,4.1548300000000005
51.95351,4.15482
51.95354,4.15479
51.95355,4.15481
51.95356,4.15479
51.95353,4.15479
51.95354,4.15481
51.95361,4.15475
51.95354,4.15479
51.95352,4.15479
51.95352,4.15476
51.95355,4.15482
51.95354,4.15481
51.95356,4.15481
51.95353,4.15484
51.95349,4.1548
51.95356,4.1548
51.95349,4.15485
51.95359,4.1548
51.95353,4.15477
51.95354,4.1548
51.95358,4.15477
51.95349,4.1548
51.95354,4.15477
51.95353,4.15475
51.95353,4.15477
51.95352,4.15478
51.95354,4.15478
51.95352,4.15477
51.95352,4.15475
51.95354,4.15477
51.95355,4.15477
51.95351,4.15481
